Competitii 2026
	Competitie	Data	Info
	Maraton Sibiu	30-31 mai 2026	https://maratonsibiu.ro/
	Brasov Marathon	29 mai – 1 iun	https://www.brasovmarathon.ro/brasov-marathon/
	Crosul Teiusului	30 mai 2026	https://www.facebook.com/people/Crosul-Teiu%C8%99ului/61558068608210/
	YOLO Jersey	31 mai 2026	https://yolojersey.ro/
	Iunie		
	Marea provocare de miscare	5-6 iun 2026	https://www.facebook.com/fitnesstribegroup
	Măcin Mountain Fun	6 iun 2026	https://www.bikeworks.ro/macin-mountain-fun/
	X Run	6 iun 2026	https://xmanromania.ro/
	Maraton Apuseni	6 iun 2026	https://www.facebook.com/events/1750850818948555/
	Fara asfalt la mare	6 iun 2026	https://www.faraasfalt.ro/
	Urlea Super Vertical	6 iun 2026	https://fagarasrocks.ro/urlea-super-vertical/
	Busteni Ultra Race	6 iun 2026	https://busteniultrarace.ro/
	Festivalul Sporturilor Iasi	6-7 iun 2026	https://festivalulsporturilor.ro/
	Sepsi Run	12-13 iun 2026	https://www.sepsirun.ro/
	Pedala in Banie	12-14 iunie 2026	https://pedalainbanie.ro/
	Atinge Omu	13 iun 2026	https://www.facebook.com/events/871242151897728/
	The Color Run Iasi	13 iun 2026	https://www.thecolorrun.ro/evenimente/
	Maraton Scaunul Domnului	13 iun 2026	https://www.facebook.com/events/1435145131236212/
	Maraton Maramures	13 iun 2026	https://maratonmaramures.ro/
	Maratonul Sarii	13 iun 2026	https://maratonulsarii.adrenallina.ro/
	Bloodfluencer Marathon	13 iun 2026	https://bloodfluencermarathon.ro/
	Retezat Sky Race	13 iun 2026	https://retezat.skyrace.ro/
	Maratonul Nordului - Botosani	13-14 iun 2026	https://www.facebook.com/maratonulnordului
	Crosul Supereroilor	14 iun 2026	https://www.sportsfestival.com/
	Race for the Cure	15 iun 2026	https://www.raceforthecure.eu/ro/
	Rosia Montana Marathon	20 iun 2026	https://www.facebook.com/RosiaMontanaMarathon
	Cheile Grădiştei Spartan Trifecta	20 iun 2026 	https://ro.spartan.com/ro/race/detail/9916/
	Maratonul Târnavei	20 iun 2026	https://maratonultarnavei.ro/
	Cozia Mountain Bike & Run	20 iun 2026	https://www.ciclismvalcea.ro/
	Cros Montan Traversare Ignis	20 iun 2026	https://sites.google.com/view/crosignis
	Crosul Orasului Mioveni	27 iun 2026	http://miovenioutdoorsports.ro/
	Sinaia Mountain Run	27 iun 2026	https://sinaia.run/
	Rodnei Sky Race	27 iun 2026	https://rodneiskyrace.eu/
	Crosul Hoia	27 iun 2026	https://runnersclub.ro/
	Chisinau 10K	27 iun 2026	https://sporter.md/ro/events/run/16356/chisinau-10-km-night-run-2026
	Transylvania Triathlon Festival	27-28 iun 2026	https://www.facebook.com/events/1395908285358445
	Iulie		
	Carpathia Trails	4 iul 2026	https://www.facebook.com/carpathiatrails
	Legendele Nemirei	4 iul 2026	https://www.legendelenemirei.com/
	Cozia Mountain Run	4 iul 2026	https://coziamountainrun.ro/
	Zalau Ultra Trail	10-11 iul 2026	https://zut.run/
	Stâna de Vale Trail Race	10-11 iul 2026	https://www.facebook.com/profile.php?id=61575894238907
	Predeal Forest Run	11 iul 2026	https://predealforestrun.ro/
	Budeasa Swim & Run	11 iul 2026	https://triatlet.ro/
	Trofeul Dragoneilor	17 iul 2026	https://www.facebook.com/events/1524922412160489
	Maraton Bate Toaca	18 iul 2026	https://www.batetoaca.ro/
	Timisoara Triathlon	18-19 iul 2026	https://timisoaratriathlon.ro/
	Up to Postăvaru	24-26 iul 2026	https://www.uptopostavaru.ro/
	Bucovina Ultra Rocks	24-26 iul 2026	https://bucovina.utmb.world/
